"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_interval","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polylon","settings_polylat"
"20230322_094441",FALSE,"CS_V02",2002,0.554417599140731,0.525666004173895,1.27101539551397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230322_094441",FALSE,"CS_V02",2003,0.626699168774917,0.422839727103326,2.47471205788511,98,117,136,38,96.0307678576849,101.047690007768,5.68442152720451,6.22027527741673,NA,-0.350234506060972,31.3962868290615,10.2196535092361,-0.000469507518040109,0,0.099274749287054,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230322_094441",FALSE,"CS_V02",2004,0.555765833549694,0.452761180242971,1.9952947569996,96,117,138,42,81.5247294264067,67.9731761070944,5.31443124837008,3.40394361532284,12,-0.40603796644917,28.5615468721976,11.6504920598404,7.06896106284014e-05,0,0.137403535165441,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230322_094441",FALSE,"CS_V02",2005,0.482672347446696,0.433068186164639,1.52590486542663,89,110,131,42,15.4315446420941,16.238312003904,1.03849286837071,0.685289674919797,1,-0.306774740273993,11.9765451069159,11.503749534379,-0.000564220817844459,0,0.117586696666932,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230322_094441",FALSE,"CS_V02",2006,1.07969476888848,0.887402322559318,2.45262679219457,75,99,123,48,180.770280479323,183.30594357842,10.8273267124112,9.02707177090087,NA,-0.468850357632371,40.3581786718248,12.8654436722735,0.00199986365658295,0,0.157573146607126,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230322_094441",FALSE,"CS_V02",2007,0.767570604485315,0.552711192739382,2.37359793111066,94,118,142,48,101.780720252463,102.60941669064,9.98020183734433,4.63294159123142,1,-0.547066280223585,36.151763736538,13.349884506837,0.00144289967203638,0,0.167483239106825,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230322_094441",FALSE,"CS_V02",2008,0.56883557111011,0.525435282679751,1.52128269895446,112,128,144,32,15.94409433294,15.9565250510964,1.29321647750826,0.906907072010719,1,-0.604984744272938,10.4116823893641,8.69502652234521,0.00203626369383968,0,0.101675202423716,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230322_094441",FALSE,"CS_V02",2009,0.716244723174015,0.588923212648129,1.95206884786881,83,106,129,46,50.6223327181,46.1915056561356,5.03964831069255,2.01920493484961,1,-0.638659752538757,24.5120239881075,12.4763638962874,0.00224631289989919,0,0.193787036236988,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230321_094421",TRUE,"CS_V02",2010,0.862329981327293,0.777552919069525,1.54758249919711,70,81,92,22,14.4759710373784,14.6065006539644,1.27678484725108,1.23483627885118,NA,-0.0961530849292054,6.25549816101428,5.72147869164308,-0.00062108328566132,0,0.134009859104981,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2010","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","26,126","42,92","56,109","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CS_V02","",NA,NA
"20230322_094441",FALSE,"CS_V02",2011,0.634230660160646,0.554168973394959,1.76283308630734,105,117,129,24,29.8006502661347,34.2223274869079,2.69031078727624,2.99357885162639,NA,-0.161568930762893,12.5431086650124,6.2409000966319,-0.000764465737531238,0,0.121666846381338,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
