"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_year","settings_interval","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polylon","settings_polylat","settings_cell_size_model1","settings_cell_size_model2"
"20230404_154042",FALSE,"CLS",2022,0.856283221590933,1.04762450248832,2.43439073170393,101,123,145,44,111.068096348513,103.537304252669,5.94435278314228,5.540007048099,NA,-0.984192660511833,36.5180927164331,11.7647995818569,0.00418880050817202,0,0.255701453986404,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_154042",FALSE,"CUSTOM",2002,0.378835320270463,0.332045836387785,1.62290706421263,175,186,197,22,15.4163158557394,9.80736249152943,0.942109681729216,0.787931580270521,2,0.197322130515836,6.50602524277374,6.07395900034864,-0.00282173946802781,0,0.0941511310518974,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_154042",FALSE,"CUSTOM",2003,0.755870177075223,0.681664370516061,2.03158946178747,128,139,150,22,71.6103762365419,45.5261233013028,5.61424503781289,4.25235696664701,2,-0.0960959315839088,12.9736860194376,6.00244333840749,-0.000528054163782706,0,0.183693943800331,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_154042",FALSE,"CUSTOM",2004,0.827552018760262,0.810058175451905,1.7496267053086,166,192,218,52,25.1294583281541,28.646718243597,1.82001479935004,0.975992272695271,1,0.218339475629012,12.7089273724712,13.9385102919328,-0.00180420392316479,0,0.174024436059674,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_154042",FALSE,"CUSTOM",2005,0.682298335872783,0.741569975837064,2.0012487625001,165,195,225,60,29.5438109972292,39.3349275335922,3.02133873496994,1.18689223698621,12,-0.708007172454804,21.7295329865587,16.6527766823899,0.00214232211326328,0,0.207970026166351,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_161404",TRUE,"CUSTOM",2006,0.573150301508836,0.61944780052305,2.54929487731577,101,134,167,66,42.8778448464353,45.4870586268493,2.05861877242686,1.35706690609779,1,-1.78403629362499,39.7622936705317,18.2902441402198,0.00830379777562131,0,0.123301019459212,"atlantic","modisaquar2022.0_chlpoly4","full","2006","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","59,199","85,180","108,198","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_154042",FALSE,"CUSTOM",2007,0.694869552440516,0.627077549841315,2.81313490572885,109,123,137,28,130.789201037649,46.503731259251,10.4461816867287,3.53422844016356,12,-0.60953446426395,19.8650948805243,7.77826622376445,0.00148513730466362,0,0.322343964250314,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_154042",FALSE,"CUSTOM",2008,0.383072779935811,0.334378896717686,2.6455331627827,122,143,164,42,104.429199091732,110.188616113162,9.06897564169511,6.86045803429999,NA,-1.09835503458904,44.1810205144667,11.2153231149413,0.00262197974981555,0,0.186167074141481,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_154042",FALSE,"CUSTOM",2009,0.309771646790093,0.357031981483576,1.7850913962136,85,145,205,120,33.1284082458899,30.3158898521946,0.885498028085465,0.469291332927,14,-1.49997052434234,57.5561708585467,33.4425310376966,0.00403360943300202,0,0.159141493344282,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_161652",TRUE,"CUSTOM",2010,0.925479073402654,1.08345022626509,2.41126982555294,107,125,143,36,61.0552812517692,71.8769208900149,3.35147843583573,4.58589951961599,12,-1.1300476216497,27.6053945019886,9.58271921258301,0.00539332387204418,0,0.269592137167123,"atlantic","modisaquar2022.0_chlpoly4","full","2010","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","73,256","76,143","103,157","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
