"datetime_fitted","manual_fit","Region","Year","Annual_Mean","Annual_Median","Annual_StDev","t.start.","t.max_real.","t.max_fit.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","RMSLE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_log_chla","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20241121_121614",TRUE,"CLS",2017,0.615388404452124,0.714344472732468,3.91993783367907,155,182,189,223,68,170.68959657069,174.440933982788,6.57974585418379,5.51243214799046,NA,-1.24843644385692,46.9343956636867,18.4050091379441,0.00537732703352731,0,0.766507750212163,0.266440837566322,"atlantic","occciv6.0_chlpoly4","full","small","small","2017","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","61,258","116,217","129,218","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20241121_121830",TRUE,"CLS",2018,0.559372058404315,0.56544918533215,2.69187060375333,152,169,173,194,42,63.5569313658338,68.1876857735206,3.90999545840803,3.19668852951715,NA,-1.39018797585874,21.1320247409703,11.3726418967918,0.00717074676584144,0,0.495213310301431,0.217306009437265,"atlantic","occciv6.0_chlpoly4","full","small","small","2018","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","61,230","116,217","129,218","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20241121_123124",TRUE,"CLS",2019,0.417700712765997,0.512480214225955,3.237542033604,134,185,185,236,102,163.394880779779,178.537723532516,6.41527994866573,4.04172012638025,1,-1.39451373206686,89.8742830382955,27.9460651133864,0.00400720018296346,0,0.577439333622558,0.196978375962769,"atlantic","occciv6.0_chlpoly4","full","small","small","2019","1","1","20","sd3","average","","","gauss","symmetric","nofit","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"2024-11-19-123448",FALSE,"CLS",2020,0.376301802,0.414090501,2.977868765,132,167,169,206,74,95.99773748,92.44604324,3.667556959,2.747253054,1,-1.480560355,59.37575877,20.53275444,0.004718499,0,0.262978736,0.121843167,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"20241121_123811",TRUE,"CLS",2021,0.618812273148302,0.876531540983244,3.0440350502366,104,203,184,264,160,140.678951403657,137.223910667035,2.59785682328326,1.65629560874905,1,-1.21212712128576,90.2607104626071,44.1419169038457,0.00373668841442091,0,0.319461838219675,0.12565341547617,"atlantic","occciv6.0_chlpoly4","full","small","small","2021","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"2024-11-19-123448",FALSE,"CLS",2022,0.671360595,0.886895424,3.119696898,105,136,126,147,42,73.47934461,55.75023839,4.6190538,2.693820805,12,-0.737996019,24.29564011,11.51393062,0.003127383,0,0.597705204,0.216223143,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"2024-11-19-123448",FALSE,"CLS",2023,0.46941383,0.477772947,2.643172826,129,160,161,193,64,70.15153302,66.52194368,3.653759498,2.124111776,1,-0.909615881,39.72594362,17.73266468,0.002499377,0,0.511188004,0.192705385,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"20241121_124459",TRUE,"CLS",2024,0.426772507752564,0.273061172718619,4.17506067432812,109,130,133,157,48,97.0406662468799,62.9129128215394,7.88320227166306,2.90182565847035,12,-1.83404358933399,35.2202847976878,12.840527961833,0.00931503446771003,0,1.17668942215241,0.243880220514917,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","82,245","85,226","108,244","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"2024-11-19-123448",FALSE,"GS",1997,0.342488792,0.337675004,1.290599823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"20241120_093046",TRUE,"GS",1998,0.695388253823338,0.600251999856651,3.67581218365051,100,138,147,194,94,183.947344819409,176.481552026791,9.13842598015321,4.16548406123253,1,-1.18038496244987,74.8797604258682,25.7342447807177,0.00455993506544475,0,1.54626991424239,0.24705237612676,"atlantic","occciv6.0_chlpoly4","full","small","small","1998","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","65,251","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","GS","",NA
"2024-11-19-123448",FALSE,"GS",1999,0.566139903,0.407226842,2.942698045,122,154,154,186,64,230.3283438,203.9257156,13.77433323,7.50046785,1,-0.490381445,57.97071993,17.61464748,0.000481744,0,1.335882454,0.26064131,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"20241120_093548",TRUE,"GS",2000,0.493630806594252,0.400151423712981,2.9204884262612,93,138,138,183,90,168.712295112148,154.936072423807,5.63180134601182,4.16037941354862,1,-1.34902282375753,91.159844570885,24.9815513817023,0.0038250667604565,0,0.422420937086409,0.182668718716449,"atlantic","occciv6.0_chlpoly4","full","small","small","2000","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","65,251","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","GS","",NA
"2024-11-19-123448",FALSE,"GS",2001,0.417008429,0.3115297,3.527952268,111,139,141,171,60,258.105784,251.1163012,17.81972828,11.00057086,1,-0.627279394,66.57604548,16.25905241,0.000321704,0,1.606349031,0.20674991,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
