"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_real.","t.max_fit.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"2024-02-13-092653",FALSE,"GS",2012,1.35239373,0.431529898,2.321657613,126,133,134,142,16,57.65188359,72.24018216,9.735353813,7.014689695,12,2.598579309,77.69738498,4.418837224,-0.008276339,0,0.375603715,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2013,1.153949936,0.55503413,1.336877367,109,140,141,173,64,115.0599863,150.6147621,4.705650394,3.693627684,2,0,161.3011094,17.42185134,0.002335924,0,0.392186274,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2014,2.039280798,0.507682356,4.02081598,141,148,151,161,20,122.0160935,171.8867642,18.87064924,13.95801732,12,1.827004886,181.7406998,5.194437546,-0.005764556,0,0.336895484,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2015,2.1203934,0.792405702,3.426268002,115,127,127,139,24,103.0680845,102.7485474,14.90274217,6.84466562,1,3.089373386,109.2486666,6.367573615,-0.009468187,0,0.390171297,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2016,1.007442559,0.739545561,0.951771701,126,136,142,158,32,62.08338006,67.58613242,3.987887286,3.404512537,NA,0,71.64811103,8.395757244,0.003432092,0,0.24547382,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2017,1.394395248,0.503662835,3.393556294,123,134,134,145,22,220.3708701,193.1877507,21.76996975,13.70538479,1,1.364711623,207.3766357,6.036408988,-0.003409318,0,0.349553941,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2018,2.718679137,0.495658243,10.87514244,139,148,148,157,18,625.1953785,329.0189206,74.20091868,29.18645184,12,1.279318901,350,4.784062103,-0.001972274,0,0.461899715,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2019,1.43607956,0.692783542,1.981885958,106,132,132,158,52,219.4195955,143.1445663,9.286908464,4.335437215,12,0,153.0867921,14.08688234,0.003800767,0,0.442333095,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2020,0.534799287,0.346401435,0.518498099,130,139,144,158,28,27.21975109,30.81864357,1.98703722,1.75563621,NA,0.129863304,32.7967522,7.452575332,0.00127903,0,0.272935029,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2021,1.493496426,0.89284372,1.547657217,98,147,127,156,58,141.6495847,149.2394356,7.525659335,4.036624978,1,0,159.8587958,15.7989491,0.003663241,0,0.272741053,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2022,1.744035152,0.953612466,1.923559223,125,129,147,169,44,108.0030898,128.4086687,6.562350622,4.649555453,12,0.284216729,136.7110745,11.73011664,0.002732677,0,0.339706612,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2023,2.373788328,0.518323173,6.778579826,135,147,147,159,24,339.7637241,325.9568114,42.87093097,21.18267677,1,2.278542838,350,6.591697531,-0.005666278,0,0.625008046,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"LAS",2003,0.928568483,0.511232397,1.372468278,142,157,157,172,30,102.4709154,82.18759852,8.731049467,4.304499136,12,0,87.97988108,8.15400196,0.002982833,0,0.296595503,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"LAS",2004,0.746071607,0.599829983,0.500245071,142,149,158,174,32,32.69196745,27.61840692,2.181003352,1.374314434,12,0,29.41006406,8.537287925,0.003060479,0,0.198475698,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"LAS",2005,0.750023657,0.413260069,0.984077059,99,130,130,161,62,86.10769385,51.19234122,6.825596868,1.275511276,12,0,55.19756594,17.26416947,0.003083951,0,0.362491253,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
