"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_fit.","t.max_real.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20240109_005839",FALSE,"CLS",2023,0.558863658,0.459673841,1.953682065,139,169,160,181,42,56.83570244,78.85551887,3.974588341,4.092104687,2,-0.657178838,30.90231098,11.55176228,0.001505007,0,0.187734314,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230315_135352",TRUE,"GS",2003,0.958082398238666,0.840065888111861,4.01102104814297,95,135,141,175,80,301.750463272731,191.801011179129,16.0406820735405,5.72174671602797,12,-1.03422707111826,77.6838556923073,22.1893424180778,0.0030582129466761,0,0.370423024260908,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2003","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","69,260","72,159","101,161","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","GS","",NA
"20230404_154042",FALSE,"GS",2004,0.88519405,0.875800836,2.109917068,102,125,125,148,46,116.1088601,67.5475023,8.883904641,3.100052564,12,-0.711255404,27.8878099,12.32618407,0.002864682,0,0.265605994,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"GS",2005,0.474050284,0.423370292,2.133649691,90,110,110,130,40,64.80584841,38.54739357,6.655649136,2.063791234,12,-0.828471333,27.03521477,10.90512238,0.001828191,0,0.255817824,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"GS",2006,0.57216579,0.472929622,3.566573626,98,138,138,178,80,312.5164981,193.6426004,20.72417165,6.701711871,12,-1.783292198,104.3702967,21.92914661,0.00519027,0,0.226757635,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230315_140149",TRUE,"GS",2007,0.753140198356751,0.855292928330936,3.51322136210189,89,123,149,157,68,119.206255547865,78.6716652959873,13.065688014128,2.51807172003556,124,-1.58300207637571,55.2164300951414,18.9507675880281,0.00693202928741406,0,0.371896135578948,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2007","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","64,217","89,143","90,156","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","GS","",NA
"20230315_140249",TRUE,"GS",2008,0.361978847385254,0.380048140835796,2.18126727872544,118,137,133,156,38,10.3393283985991,10.9138695049209,0.969382246327593,0.537602721636374,1,-1.37644072048707,13.6043094586206,10.1442422520986,0.00526779712647306,0,0.213144611120686,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2008","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","64,234","89,143","90,156","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","GS","",NA
"20230404_154042",FALSE,"GS",2009,0.369153305,0.283799163,2.765177081,114,148,144,182,68,136.1962238,133.8548646,5.208770598,4.927494105,NA,-1.015281499,68.34853153,18.46190522,0.001660118,0,0.211764,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"GS",2010,0.485948437,0.451617008,2.262837766,100,137,137,174,74,63.71739553,50.74476541,4.983260585,1.405608311,12,-1.140460644,45.68463781,20.35974573,0.003301347,0,0.263467148,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"GS",2011,0.676434661,0.579380463,2.989684572,108,128,127,148,40,129.6833224,122.5070913,11.20163337,7.354030362,1,-0.573176937,37.20157675,10.93411012,0.000795861,0,0.255350687,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
